unique_id,first_name,surname,dob,city,email,cluster
0,Robert,Alan,1971-06-24,,robert255@smith.net,0
1,Robert,Allen,1971-05-24,,roberta25@smith.net,0
2,Rob,Allen,1971-06-24,London,roberta25@smith.net,0
3,Robert,Alen,1971-06-24,Lonon,,0
4,Grace,,1997-04-26,Hull,grace.kelly52@jones.com,1
5,Grace,Kelly,1991-04-26,,grace.kelly52@jones.com,1
6,Logan,pMurphy,1973-08-01,,,2
7,,,2015-03-03,Portsmouth,evied56@harris-bailey.net,3
8,,Dean,2015-03-03,,,3
9,Evie,Dean,2015-03-03,Pootsmruth,evihd56@earris-bailey.net,3
10,,Dean,2015-03-03,Portsmouth,evied56@harris-bailey.net,3
11,Isla,Hall,1985-02-07,,islahall97@gutierrez-bennett.com,4
12,Hall,Isla,1985-02-07,London,islahall97@gutierrez-bennett.com,4
13,Isla,Hall,1985-02-07,,islahall97@gutierrez-bennett.com,4
14,Oliver,Griffiths,1991-10-26,Lunton,o.griffiths90@reyes-coleman.com,5
15,,Smith,1981-10-11,Bradford,muhammadsmith@brooks.com,6
16,Lucas,,1991-04-05,,l.c91@perez-gonzalez.com,7
17,Luas,Coox,1991-05-06,London,,7
18,Caleb,Rwoe,1992-11-20,Liverpool,,8
19,Rowe,Caleb,1992-12-20,Lvpreool,calebr@thompson.org,8
20,Caleb,Rowe,2003-01-17,,calebr@thompson.org,8
21,Darcy,Bernass,1986-02-04,Southampton,darcy.b@silva.com,9
22,,Green,1974-10-05,Londdon,,10
23,,Green,1984-10-03,,,10
24,Thoas,Green,1974-10-05,London,thomas.green@clark.org,10
25,Gabriel,Thomas,1977-09-13,London,gabriel.t54@nichols.info,11
26,Thomas,Gabriel,1976-09-15,Loodon,gabriel.t54@nnichls.info,11
27,,Thomas,1977-10-17,London,,11
28,Thomas,Gabriel,1976-09-15,London,gabriel.t54@nichols.info,11
29,Thomas,Gabriel,1976-08-15,,,11
30,Thomas,Gabriel,1976-09-15,London,gabriel.t54@nlchois.info,11
31,Lola,Brown,1983-11-06,,lola.b@martinez-jones.net,12
32,Lola,Brown,1983-11-06,Bradford,lola.b@martinesz-jone.net,12
33,,Brown,1983-11-06,Bradford,lola.b@martinez-jones.net,12
34,Lola,Brown,1983-11-06,Bradfofrd,,12
35,,Bron,1983-11-06,Bradford,,12
36,,Brrown,1983-11-06,Bradford,lola.b@martinez-jones.net,12
37,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13
38,Theodore,,1979-08-21,Bimingham,t.m39@brooks-sawyer.com,13
39,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13
40,Theodore,Mosrir,1978-09-19,Birminghaim,t.m39@brooks-sawyer.com,13
41,eTheodroe,,1978-08-19,,t.m39@brooks-sawer.com,13
42,Theodore,Morris,1978-09-18,Birgmhniam,,13
43,Theodore,Morris,1978-08-19,Birmingham,t.m39@brooks-sawyer.com,13
44,Sebastian,,2015-04-04,,s.mitchell39@green.org,14
45,Sebastian,Mitchell,2015-05-04,,s.mitchell39@green.org,14
46,,Mitchell,2015-04-04,Leeds,s.mitchell39@green.org,14
47,Erin,Rogers,2010-01-02,London,e.rogers3@hopkins.org,15
48,Erin,Rogers,2010-01-30,,e.rogers3@hopkins.org,15
49,Erin,,2010-03-01,London,e.rogers3@honkips.org,15
50,Erin,Roers,2010-03-03,,,15
51,Jayden,Bennett,2017-01-11,Swansea,,16
52,Jyayden,Bnennet,2017-01-11,Snawseaa,jb88@king.com,16
53,Jayden,Bennett,2017-01-11,Swwanea,jb88@king.com,16
54,Jayden,Bennett,2017-01-11,Swansea,jb88@king.com,16
55,,Bennett,2017-01-11,Swansea,,16
56,Jayden,Bennett,2017-02-10,Swansea,jb88@king.com,16
57,Jayaned,Bennett,2017-01-11,swansea,8jb88@king.com,16
58,,Kikr,2010-08-06,CCardiff,p.kirk@hill.com,17
59,,,1978-05-01,Southend-on-Sea,,18
60,lola,King,1977-04-01,Southend-on-Sea,,18
61,,King,1977-04-01,Southend-on-Sea,lola.k63@bradle-barnes.info,18
62,Lola,King,1978-04-01,Southena-on-Sed,,18
63,Adam,Jsneo,1982-10-12,Bristol,ajones6@cortez-wilcox.com,19
64,Adaam,Jones,1982-10-11,Bristol,ajones6@cortez-wilcox.com,19
65,Adam,Jones,1992-09-11,oBristl,ajones6@cortez-wilcox.com,19
66,Adam,,1982-10-12,Bristol,ajones-@cortez6wilcox.com,19
67,Adam,Jonse,1982-10-12,,ajones6@cortez-wilcox.com,19
68,Reggie,,1996-08-05,Coventry,r.m51@leonard.net,20
69,Reggie,Mason,1986-09-09,Coventry,r..m51@leonard.net,20
70,Reggie,,1986-09-09,Coventry,r.m51@leonard.net,20
71,Reggie,Mason,1986-09-09,,r.m51@leonard.net,20
72,Willow,Jones,1990-07-12,Wolverhampton,,21
73,Jones,Willow,1990-07-12,Wolverhampton,wilowjones14@whitney-wimlkersonc.om,21
74,Ronni,Begum,2003-10-15,London,r.b80@ellis-berry.com,22
75,,Mason,1996-12-10,Leicester,emason@ware.com,23
76,,Mason,1996-12-10,Leicester,emason@ware.com,23
77,Elizabeth,Mason,1996-11-10,Leicester,emason@ware.com,23
78,Elizabeth,Mason,1997-12-10,Leicester,em@aosn@ware.com,23
79,Ryan,Cole,1987-05-25,Brritsol,r.cole1@ramirez-anthony.com,24
80,Rnyan,,1987-06-26,Bristol,r.cole1@ramirez-anthony.com,24
81,Ryan,Cole,1987-05-27,,r.cole1@ramirez-anthony.com,24
82,Ryan,Cole,1987-05-27,,r.cole1@ramirez-anthony.com,24
83,Ran,Cole,1988-06-27,,r.cole1@ramirez-anthony.com,24
84,Ryan,Cole,1988-05-27,Bristol,r.cole1@ramtrez-anihony.com,24
85,Charlotte,Johnson,2022-02-02,Telford,charlottej68@lee-taylor.org,25
86,Charlotte,Johnson,2012-01-06,fTelford,charlottej68@lee-taylor@.org,25
87,Lex,Gorodon,1994-10-01,Birmingham,l.gordon34@french.com,26
88,Lexi,,1994-09-02,Birmingham,l.gordon34cfren@h.com,26
89,Lexi,,1994-09-02,Birmingham,l.gordon34@french.com,26
90,Osacar,Moore,2016-01-12,Liverpool,omoore64@randall.com,27
91,Moore,Oscar,2016-01-12,Liverpool,omoore64@randall.com,27
92,Oscar,,2026-01-08,Liverpool,omoore64@randall.com,27
93,Moore,Oscar,2016-01-12,Liverpool,omoore64@randall.com,27
94,Oscra,Moore,2016-01-12,Liverpool,omoore64@randall.com,27
95,Ocar,Moore,2016-01-12,Liverpool,omoore64@randall.com,27
96,Elanor,Eavns,2008-08-27,Bristol,e.e@day.com,28
97,nleaEor,Evans,2008-08-27,,,28
98,,Evans,2008-08-27,Bristol,ee@day.com,28
99,,,2018-08-26,Bristol,e.e@ay.cod,28
100,Eleanor,,2009-08-25,,e.e@day.com,28
101,Alfie,Griffiths,2008-05-07,Plymouth,a.griffiths@garner-bridges.com,29
102,Alfie,,2008-05-07,Plymouth,a.griffiths@garner-bridges.com,29
103,Alfie,Griffihs,2009-04-07,Plyoutm,,29
104,Griffiths,Alfie,2008-05-07,Plymouth,a.griffiths@garner-bridges.com,29
105,Alfie,Griffiths,2008-05-07,Plymouth,a.griffiths@garner-bridges.com,29
106,Miaisie,Walsh,2005-08-20,Bimminghar,maiie.walsoh@hodge.com,30
107,Maisie,Walsh,2005-08-20,Birmingham,maisie.walsh@hodge.com,30
108,,,2005-08-20,,maisie.walsh@hodge.com,30
109,Oievr,,2009-12-21,Londn,oliver.atkinson@moran-smith.com,31
110,Oliver,Atkinnos,2009-12-21,London,oliver.atkinson@moran-smith.com,31
111,Oliver,Atkinson,2009-12-21,London,,31
112,Oliver,Atkinson,2010-01-20,London,oliver.atkinson@moran-smith.com,31
113,Oliver,Atkinson,2011-01-21,London,,31
114,Oliver,Atkinson,2009-12-21,London,oliver.atkinson@moran-smith.com,31
115,Oliver,,2009-12-22,Loondon,oliver.atkinson@moran-smith.com,31
116,Ryyan,Bond,1997-11-25,London,rbond58@chavez.com,32
117,James,Davies,1976-01-04,London,jamesd75collins.biz,33
118,,Macdonald,1985-10-15,London,dmacdoald@riverb-glass.siz,34
119,Dylan,Macdonald,1985-10-15,Lodon,dmacdonald@rivers-glass.biz,34
120,Macdonald,Dylan,1986-09-15,Lonodnn,dracdonald@rivers-glass.biz,34
121,Dylan,,1985-10-15,London,dmacdonald@rivers-glass.bi,34
122,Dylan,,1985-10-15,London,dmacdonald@rivers-glass.biz,34
123,Harley,Kra,1973-10-27,Mancheeser,harleyk@houston.net,35
124,Kaur,Harley,1983-11-24,Manchester,haoleyk@hrustonnet,35
125,Harley,Kaur,1973-11-26,Mancseter,harleyk@houston.net,35
126,,,1973-11-26,Manchester,harleyk@houston.net,35
127,Hayler,,1983-12-22,Manchester,harleyk@houston.net,35
